,eng,part,mean
11959,join,noun,An intersection of piping or wiring; an interconnect.
11960,joined,verb,To connect or combine into one; to put together.
11961,joiner,noun,A maker of wooden furniture or fittings.
11962,joining,verb,To connect or combine into one; to put together.
11963,joins,noun,An intersection of piping or wiring; an interconnect.
11964,joint,noun,"The point where two components of a structure join, but are still able to rotate."
11965,joints,noun,"The point where two components of a structure join, but are still able to rotate."
11966,joke,noun,An amusing story.
11967,joked,verb,To do or say something for amusement rather than seriously.
11968,joker,noun,A person who makes jokes.
11969,jokers,noun,A person who makes jokes.
11970,jokes,noun,An amusing story.
11971,joking,verb,To do or say something for amusement rather than seriously.
11972,jollies,noun,A pleasure trip or excursion.
11973,jolly,noun,A pleasure trip or excursion.
11974,jolt,noun,An act of jolting.
11975,jones,noun,Heroin.
11976,josh,noun,An instance of good-natured banter.
11977,jot,noun,Iota; the smallest letter or stroke of any writing.
11978,jotted,verb,"(usually with ""down"") To write quickly."
11979,journal,noun,"A diary or daily record of a person, organization, vessel etc.; daybook."
11980,journalism,noun,The activity or profession of being a journalist.
11981,journalist,noun,"The keeper of a personal journal, who writes in it regularly."
11982,journalistic,adjective,Related to journalism or journalists
11983,journalists,noun,"The keeper of a personal journal, who writes in it regularly."
11984,journals,noun,"A diary or daily record of a person, organization, vessel etc.; daybook."
11985,journey,noun,"A set amount of travelling, seen as a single unit; a discrete trip, a voyage."
11986,journeyed,verb,"To travel, to make a trip or voyage."
11987,journeys,noun,"A set amount of travelling, seen as a single unit; a discrete trip, a voyage."
11988,joust,noun,A tilting match: a mock combat between two mounted knights or men-at-arms using lances in the lists or enclosed field.
11989,joy,noun,"A feeling of extreme happiness or cheerfulness, especially related to the acquisition or expectation of something good."
11990,joyful,adjective,Feeling or causing joy.
11991,joyous,adjective,Full of joy; happy.
11992,joys,noun,"A feeling of extreme happiness or cheerfulness, especially related to the acquisition or expectation of something good."
11993,joystick,noun,"A mechanical device consisting of a handgrip mounted on a base or pedestal and typically having one or more buttons, used to control an aircraft, computer or other equipment."
11994,jubilee,noun,"(Jewish history) A special year of emancipation supposed to be kept every fifty years, when farming was abandoned and Hebrew slaves were set free."
11995,judas,noun,A traitor; a person not to be trusted.
11996,judge,noun,"A public official whose duty it is to administer the law, especially by presiding over trials and rendering judgments; a justice."
11997,judged,verb,To sit in judgment on; to pass sentence on.
11998,judgement,noun,The act of judging.
11999,judges,noun,"A public official whose duty it is to administer the law, especially by presiding over trials and rendering judgments; a justice."
12000,judging,verb,To sit in judgment on; to pass sentence on.
12001,judgment,noun,The act of judging.
12002,judgmental,adjective,Of or relating to judgment.
12003,judgments,noun,The act of judging.
12004,judicial,noun,That branch of government which is responsible for maintaining the courts of law and for the administration of justice.
12005,judiciary,noun,"The collective body of judges, justices, etc."
12006,judo,noun,A Japanese martial art and sport adapted from jujutsu.
12007,jug,noun,"A serving vessel or container, typically circular in cross-section and typically higher than it is wide, with a relatively small mouth or spout, an ear handle and often a stopper or top."
12008,juggernaut,noun,"A literal or metaphorical force or object regarded as unstoppable, that will crush all in its path."
12009,juggle,noun,"(juggling) The act of throwing and catching each prop at least twice, as opposed to a flash."
12010,juggling,verb,"To manipulate objects, such as balls, clubs, beanbags, rings, etc. in an artful or artistic manner. Juggling may also include assorted other circus skills such as the diabolo, devil sticks, hat, and cigar box manipulation as well."
12011,jugs,noun,"A serving vessel or container, typically circular in cross-section and typically higher than it is wide, with a relatively small mouth or spout, an ear handle and often a stopper or top."
12012,jugular,noun,A jugular vein.
12013,juice,noun,"A liquid from a plant, especially fruit."
12014,juiced,verb,To extract the juice from something.
12015,juices,noun,"A liquid from a plant, especially fruit."
12016,juicy,adjective,Having lots of juice.
12017,jujitsu,noun,A method of self-defence established in Japan emphasizing “jū” (soft or gentle) “jutsu” (art or technique). Japanese martial art that utilizes a large variety of techniques in defense against an opponent.
12018,juke,noun,"A roadside cafe or bar, especially one with dancing and sometimes prostitution."
12019,jukebox,noun,A coin-operated machine that plays recorded music; it has push-buttons to make selections.
12020,julep,noun,"A refreshing drink flavored with aromatic herbs, especially mint, and sometimes alcohol."
12021,jumble,noun,A mixture of unrelated things.
12022,jumbled,verb,To mix or confuse.
12023,jumbo,noun,"An especially large or powerful person, animal, or thing."
12024,jump,noun,The act of jumping; a leap; a spring; a bound.
12025,jumped,verb,"To propel oneself rapidly upward, downward and/or in any horizontal direction such that momentum causes the body to become airborne."
12026,jumper,noun,"Someone or something that jumps, e.g. a participant in a jumping event in track or skiing."
12027,jumpers,noun,"Someone or something that jumps, e.g. a participant in a jumping event in track or skiing."
12028,jumping,verb,"To propel oneself rapidly upward, downward and/or in any horizontal direction such that momentum causes the body to become airborne."
12029,jumps,noun,The act of jumping; a leap; a spring; a bound.
12030,jumpsuit,noun,A one-piece item of clothing originally used by parachutists
12031,jumpy,adjective,Nervous and excited.
12032,junction,noun,"The act of joining, or the state of being joined."
12033,juncture,noun,"A place where things join, a junction."
12034,jungle,noun,"A large, undeveloped, humid forest, especially in a tropical region, that is home to many wild plants and animals; a tropical rainforest."
12035,jungles,noun,"A large, undeveloped, humid forest, especially in a tropical region, that is home to many wild plants and animals; a tropical rainforest."
12036,junior,noun,A younger person.
12037,juniors,noun,A younger person.
12038,juniper,noun,"Any shrub or tree of the genus Juniperus of the cypress family, which is characterized by pointed, needle-like leaves and aromatic berry-like cones."
12039,junk,noun,"Discarded or waste material; rubbish, trash."
12040,junkie,noun,"A narcotics addict, especially a heroin user."
12041,junkies,noun,"A narcotics addict, especially a heroin user."
12042,junky,noun,"A narcotics addict, especially a heroin user."
12043,junkyard,noun,A place where rubbish is placed.
